publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
Nature Reviews Rheumatology		1759-4804	2017-08-10			2017-09-14			https://www.nature.com/nrrheum		nrrheum		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067103	npg	317561106	raw
International Journal of Obesity	0307-0565	1476-5497	2009-09-29			2018-08-17			https://www.nature.com/ijo		ijo		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944689	npg	40909382	raw
ISME Journal	1751-7362	1751-7370	2010-12-09			2018-09-14			https://www.nature.com/ismej		ismej		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	1987359	npg	741488427	raw
American Journal of Gastroenterology Supplements	1948-9498	1948-9501	2014-09-10			2016-12-01			https://www.nature.com/ajgsup		ajgsup		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067061	npg	371017885	raw
Nature Physics		1745-2481	2014-06-22			2017-08-14			https://www.nature.com/nphys		nphys		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067092	npg	61856917	raw
Eye	0950-222X	1476-5454	2011-04-29			2018-09-06			https://www.nature.com/eye		eye		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944683	npg	1057933397	raw
Journal of Antibiotics	0021-8820	1881-1469	2011-12-21			2018-08-17			https://www.nature.com/ja		ja		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	3238869	npg	60628443	raw
Journal of Exposure Science and Environmental Epidemiology	1559-0631	1559-064X	2009-04-15			2018-09-05			https://www.nature.com/jes		jes		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944691	npg	740964523	raw
Nature Reviews Cancer		1474-1768	2017-09-15			2017-09-15			https://www.nature.com/nrc		nrc		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067094	npg	48460961	raw
Microsystems and Nanoengineering	2055-7434	2055-7434	2015-05-28			2018-09-10			https://www.nature.com/micronano		micronano		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067080	npg	958672518	raw
Nature Climate Change		1758-6798	2013-10-29			2013-10-29			https://www.nature.com/nclimate		nclimate		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067084	npg	1039273302	raw
Journal of Human Hypertension		1476-5527	2009-04-16			2018-07-19			https://www.nature.com/jhh		jhh		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944692	npg	39928737	raw
npj Science of Food		2396-8370	2017-10-30			2018-08-20			https://www.nature.com/npjscifood		npjscifood		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067126	npg	1048183552	raw
Signal Transduction and Targeted Therapy		2059-3635	2016-01-28			2018-09-14			https://www.nature.com/sigtrans		sigtrans		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067135	npg	1076680114	raw
Cell Death and Disease		2041-4889	2010-01-14			2018-09-12			https://www.nature.com/cddis		cddis		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067067	npg	749964638	raw
Pediatric Research	0031-3998	1530-0447	2012-05-11			2018-08-28			https://www.nature.com/pr		pr		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	8768556	npg	1057980059	raw
npj Microgravity		2373-8065	2015-05-27			2018-09-05			https://www.nature.com/npjmgrav		npjmgrav		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067118	npg	882488874	raw
Modern Pathology	0893-3952	1530-0285	2011			2016			https://www.nature.com/modpathol		modpathol		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944698	npg	44003368	raw
Nature Chemical Biology		1552-4469	2015-08-18			2015-08-18			https://www.nature.com/nchembio		nchembio		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067083	npg	56476033	raw
Communications Biology		2399-3642	2018-01-22			2018-09-14			https://www.nature.com/commsbio		commsbio		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067071	npg	1030588562	raw
European Journal of Clinical Nutrition		1476-5640	2009-05-13			2018-09-05			https://www.nature.com/ejcn		ejcn		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944680	npg	39737748	raw
Gene Therapy		1476-5462	2010-10-21			2018-08-01			https://www.nature.com/gt		gt		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944684	npg	39738166	raw
Genetics in Medicine	1098-3600	1530-0366	1998						https://www.nature.com/gim		gim		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	8860021	npg	44011937	raw
Oncogenesis		2157-9024	2012-02-20			2018-09-12			https://www.nature.com/oncsis		oncsis		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067131	npg	671244707	raw
npj Vaccines		2059-0105	2016-07-28			2018-09-11			https://www.nature.com/npjvaccines		npjvaccines		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067129	npg	947095167	raw
Scientific Data		2052-4463	2014-03-11			2018-09-11			https://www.nature.com/sdata		sdata		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067133	npg	880900611	raw
Blood Cancer Journal		2044-5385	2011-01-28			2018-09-03			https://www.nature.com/bcj		bcj		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067063	npg	754562666	raw
Translational Psychiatry		2158-3188	2011-04-04			2018-09-14			https://www.nature.com/tp		tp		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067137	npg	676912891	raw
npj Breast Cancer		2374-4677	2015-06-02			2018-09-05			https://www.nature.com/npjbcancer		npjbcancer		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067110	npg	888430489	raw
BDJ Open		2056-807X	2015-10-23			2018-06-04			https://www.nature.com/bdjopen		bdjopen		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067062	npg	958669531	raw
npj Computational Materials		2057-3960	2015-11-25			2018-09-11			https://www.nature.com/npjcompumats		npjcompumats		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067113	npg	947094750	raw
Horticulture Research		2052-7276	2014-01-22			2018-09-01			https://www.nature.com/hortres		hortres		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067076	npg	868957690	raw
European Journal of Human Genetics	1018-4813	1476-5438	2009-04-22			2018-09-11			https://www.nature.com/ejhg		ejhg		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944681	npg	39928595	raw
npj Parkinson's Disease		2373-8057	2015-04-22			2018-09-05			https://www.nature.com/npjparkd		npjparkd		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067119	npg	882488214	raw
Human Genome Variation		2054-345X	2014-07-24			2018-09-14			https://www.nature.com/hgv		hgv		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067077	npg	905335239	raw
npj Materials Degradation		2397-2106	2017-07-25			2018-09-13			https://www.nature.com/npjmatdeg		npjmatdeg		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067117	npg	1015972682	raw
npj Quantum Information		2056-6387	2015-10-27			2018-09-14			https://www.nature.com/npjqi		npjqi		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067122	npg	931498618	raw
